solver,N,n_runs,mean_run_time_s,mean_charge_time_s,mean_qpu_access_s,median_qpu_access_s,iqr_qpu_access_s,mean_r_qpu_pct,mean_wall_clock_total_s
hybrid_bqm,10,9,4.986974555555556,4.986974555555556,0.14688055555555557,0.142922,0.0,2.945195764826342,8.651335398103887
hybrid_bqm,20,9,4.987101777777778,4.987101777777778,0.1516188888888889,0.147552,6.9e-05,3.040305076627811,8.877092463229523
hybrid_bqm,30,9,4.990790888888889,4.990790888888889,0.156438,0.152149,0.000284,3.1344503832536597,8.643143740670187
hybrid_bqm,50,9,4.988773333333333,4.988773333333333,0.16261355555555557,0.162715,2.6e-05,3.25959309685789,9.253585504671921
hybrid_bqm,80,9,4.993674555555556,4.993674555555556,0.18547511111111112,0.181372,0.000471,3.714291855598856,9.851330731549146
hybrid_bqm,120,9,4.995947444444444,4.995947444444444,0.16706055555555557,0.200226,0.048156,3.3436901494717537,9.187836523103114
hybrid_bqm,200,9,4.991053444444444,4.991053444444444,0.18725366666666665,0.204134,0.051175,3.751883816221671,9.056964902769929
hybrid_bqm,400,9,4.994240777777778,4.994240777777778,0.15528144444444444,0.155514,0.000548,3.109210776624992,9.781673365880529
hybrid_bqm,640,9,4.987473555555556,4.987473555555556,0.15555944444444444,0.15556,3e-06,3.1190057621354788,10.561531351885707
hybrid_cqm,10,9,4.612903444444444,4.568743777777778,0.03470733333333333,0.034707,3e-06,0.755617001059115,7.931619708329284
hybrid_cqm,20,9,4.513544666666667,4.488008333333333,0.03471222222222222,0.034707,1.7e-05,0.7712030545027135,7.815579375122777
hybrid_cqm,30,9,4.842135444444444,4.745244111111111,0.03471244444444445,0.034707,1.6e-05,0.721217071896002,8.212979555440446
hybrid_cqm,50,9,4.581876555555556,4.56352,0.030856777777777778,0.034707,1.9e-05,0.6829740435552958,7.906004625010407
hybrid_cqm,80,9,4.683278333333333,4.641087666666667,0.030861222222222224,0.034706,3.8e-05,0.6674831235909262,8.292069268445225
hybrid_cqm,120,9,4.505797777777778,4.487529666666667,0.034709777777777784,0.034704,1.6e-05,0.7721667758379814,8.255292536994805
hybrid_cqm,200,9,4.926558333333333,4.812986111111111,0.03471377777777778,0.03472,1.7e-05,0.7082667336198185,8.617964662119952
hybrid_cqm,400,9,4.937311666666667,4.822372222222222,0.03473711111111111,0.034746,3e-05,0.7070778144268902,8.685546458446575
hybrid_cqm,640,9,4.973332444444444,4.826222888888889,0.034758333333333336,0.034766,1.4e-05,0.702568829630227,8.991931986341822
